地区,"近10年单位用电量GDP平均值","近10年单位用电量GDP平均值排行","近10年年均GDP排行","近10年年均用电量排行"
北京市,27.7,l,13,23
西藏,23.2,2,31,31
上海市,21,3,10,18
湖南省,20,4,9,15
重庆市,191,s,17,24
湖北省,18.8,6,7,14
四川省,16,7,6,9
福建省,15.7,8,8,11
江西省,15.6,9,16,21
安徽省,151,10,12,13
吉林省,151,11,26,28
广东省,14.8,12,1,1
天津市,14.7,13,24,27
海南省,14.6,14,28,30
江苏省,14.5,15,2,2
陕西省,14.4,16,15,19
河南省,13.8,17,5,6
黑龙江,13.5,18,23,26
浙江省,124,19,4,4
云南省,11.2,20,18,16
山东省,11.2,21,3,3
广西,11.1,22,19,17
辽宁省,101,23,14,10
贵州省,9.6,24,22,20
河北省,8.6,25,11,5
山西省,7.3,26,20,12
甘肃省,6.3,27,27,22
内蒙古,5,28,21,7
新疆,4.7,29,25,8
青海省,3.4,30,30,29
宁夏,3.3,a1,29,25
